probeID	Array01	Array02	Array03	Array04	Array05	Array06	Array07	Array08	Array09	Array10	Array11	Array12	Array13	Array14	Array15	Array16	Array17	Array18	Array19	Array20
P0	0	0	0	0	1.13742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P2	0.379159	0.379148	0.379161	0.37914	0.379143	0.379139	0.379143	0.379149	0.379139	0.379155	0.379137	0.379143	0.379143	0.379141	0.379141	0.379137	0.379161	0.379159	0	0
P3	0.379139	0.37914	0.379162	0.379159	0.379153	0.379144	0.379138	0.379158	0.37916	0.379144	0.379155	0.379148	0.379147	0.379144	0.379151	0.379147	0.379162	0.379137	0.379161	0.379162
P4	0.379145	0.379153	0.379163	0.379158	0.379141	0.379151	0.379145	0.379137	0.379163	0.379139	0.379151	0.37916	0.379153	0.379149	0.379142	0.379138	0.379139	0.379149	0.379149	0.379137
P40	0	0.379155	0	0	0	0	0.379142	0	0	0.379143	0	0	0	0	0	0	0.379138	0	0	0
P41	0	0	0	0	0	0	0.348319	0	0	0	0	0.37916	0.379152	0.379161	0	0	0	0.379158	0	0
P42	2.42496e-05	0.0308511	1.61846e-05	5.4048e-06	2.44969e-05	4.77592e-06	0.0308335	1.91728e-05	2.74334e-06	0.030843	2.55322e-05	1.60491e-05	1.83802e-05	2.56572e-05	9.66429e-06	9.15484e-06	0.03082	2.42713e-05	1.61873e-05	4.53424e-06
P63	0	0.379137	0	0	0	0.379155	0	0	0	0	0	0	0	0.379147	0	0	0	0	0	0
P64	2.25103e-05	0.0308188	2.19677e-06	1.83915e-05	1.16616e-05	0.0308555	7.8328e-06	1.00235e-05	1.88612e-05	4.20351e-06	6.94573e-06	2.33406e-05	2.1578e-05	0.0308522	4.30728e-06	1.60189e-06	3.73408e-06	9.20109e-06	2.39977e-05	2.07349e-05
P65	0	0	0.379143	0	0	0	0	0	0	0	0	0	0	0.348308	0	0	0	0.379155	0	0
P6	0.0308579	0.0308417	0.0308649	0.0308324	0.0308492	0.0308263	0.0308451	0.0308537	0.030822	0.0308677	0.030827	0.0308319	0.0308364	0.0308345	0.030825	0.0308208	0.0308693	0.0308777	5.03843e-07	8.18007e-06
P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0308197	0	0	0	1.7327e-05
P8	0.376223	0	0	0	0	0	0	0	0	0	0.376219	0	0	0	0.376227	0	0.376205	0	0.37914	0
P9	0.030825	0.0308285	0.0308774	0.0308698	0.0308592	0.0308398	0.0308246	0.0308552	0.0308723	0.030825	0.0308484	0.0308447	0.0308372	0.0308405	0.0308575	0.0308378	0.0308623	0.0308274	0.030864	0.0308758
P10	0.0308351	0.0308357	0.0308706	0.030856	0.0308475	0.0308359	0.0308243	0.0308636	0.0308757	0.0308298	0.0308721	0.0308475	0.0308479	0.0308292	0.0308401	0.030841	0.0308715	0.0308314	0.030879	0.0308852
